RoundNumber,EventName
1,Australian_Grand_Prix
2,Chinese_Grand_Prix
3,Japanese_Grand_Prix
4,Miami_Grand_Prix
5,Canadian_Grand_Prix
6,Monaco_Grand_Prix
7,Barcelona_Grand_Prix
8,Austrian_Grand_Prix
9,British_Grand_Prix
10,Belgian_Grand_Prix
11,Hungarian_Grand_Prix
12,Dutch_Grand_Prix
13,Italian_Grand_Prix
14,Spanish_Grand_Prix
15,Azerbaijan_Grand_Prix
16,Singapore_Grand_Prix
17,United_States_Grand_Prix
18,Mexico_City_Grand_Prix
19,São_Paulo_Grand_Prix
20,Las_Vegas_Grand_Prix
21,Qatar_Grand_Prix
22,Abu_Dhabi_Grand_Prix
