Year,RoundNumber,Race,Driver,Team,QualiPosition,GridPosition,AvgFinishLast3,AvgFinishLast5,AvgGridLast3,AvgGridLast5,AvgPointsLast3,AvgPointsLast5,TargetFinish
2026,8,Austrian_Grand_Prix,ALB,Williams,,,12.67,12.5,15.67,15.8,1.33,1.0,
2026,8,Austrian_Grand_Prix,ALO,Aston Martin,,,14.33,14.33,20.67,20.0,0.33,0.2,
2026,8,Austrian_Grand_Prix,ANT,Mercedes,,,6.0,4.0,2.0,1.6,16.67,20.0,
2026,8,Austrian_Grand_Prix,BEA,Haas F1 Team,,,12.67,10.0,16.67,16.0,0.33,0.2,
2026,8,Austrian_Grand_Prix,BOR,Audi,,,11.67,12.0,13.67,14.2,0.0,0.0,
2026,8,Austrian_Grand_Prix,BOT,Cadillac,,,17.67,16.5,20.33,20.0,0.0,0.0,
2026,8,Austrian_Grand_Prix,COL,Alpine,,,10.0,10.6,12.33,12.0,3.0,3.0,
2026,8,Austrian_Grand_Prix,GAS,Alpine,,,6.0,6.2,12.33,10.6,8.33,6.2,
2026,8,Austrian_Grand_Prix,HAD,Red Bull Racing,,,5.0,7.0,6.0,9.6,10.0,6.0,
2026,8,Austrian_Grand_Prix,HAM,Ferrari,,,1.67,3.4,3.33,4.4,20.33,15.4,
2026,8,Austrian_Grand_Prix,HUL,Audi,,,12.0,11.75,11.0,11.2,0.0,0.0,
2026,8,Austrian_Grand_Prix,LAW,Racing Bulls,,,7.0,7.4,10.0,11.0,6.0,4.0,
2026,8,Austrian_Grand_Prix,LEC,Ferrari,,,9.0,6.8,7.33,5.8,4.0,6.2,
2026,8,Austrian_Grand_Prix,LIN,Racing Bulls,,,10.0,11.2,11.67,12.2,2.67,1.6,
2026,8,Austrian_Grand_Prix,NOR,McLaren,,,3.33,3.75,5.0,4.8,5.0,8.6,
2026,8,Austrian_Grand_Prix,OCO,Haas F1 Team,,,12.0,11.8,17.0,15.4,0.67,0.6,
2026,8,Austrian_Grand_Prix,PER,Cadillac,,,15.0,15.4,19.0,19.2,0.0,0.0,
2026,8,Austrian_Grand_Prix,PIA,McLaren,,,7.0,5.2,6.0,5.6,6.67,10.6,
2026,8,Austrian_Grand_Prix,RUS,Mercedes,,,6.0,4.8,2.67,3.0,6.0,8.4,
2026,8,Austrian_Grand_Prix,SAI,Williams,,,12.33,12.2,14.33,14.4,0.67,0.8,
2026,8,Austrian_Grand_Prix,STR,Aston Martin,,,16.0,16.0,21.67,21.0,0.0,0.0,
2026,8,Austrian_Grand_Prix,VER,Red Bull Racing,,,4.0,5.2,4.33,5.2,9.0,8.2,
