,Year,Race,Driver,Team,QualiPosition,GridPosition,TargetFinish,Points
0,2022,Bahrain_Grand_Prix,ALB,Williams,14.0,14.0,13,0.0
1,2022,Bahrain_Grand_Prix,ALO,Alpine,8.0,8.0,9,2.0
2,2022,Bahrain_Grand_Prix,BOT,Alfa Romeo,6.0,6.0,6,8.0
3,2022,Bahrain_Grand_Prix,DEV,,,,,
4,2022,Bahrain_Grand_Prix,GAS,AlphaTauri,10.0,10.0,R,0.0
5,2022,Bahrain_Grand_Prix,HAM,Mercedes,5.0,5.0,3,15.0
6,2022,Bahrain_Grand_Prix,HUL,Aston Martin,17.0,17.0,17,0.0
7,2022,Bahrain_Grand_Prix,LAT,Williams,20.0,20.0,16,0.0
8,2022,Bahrain_Grand_Prix,LEC,Ferrari,1.0,1.0,1,26.0
9,2022,Bahrain_Grand_Prix,MAG,Haas F1 Team,7.0,7.0,5,10.0
10,2022,Bahrain_Grand_Prix,MSC,Haas F1 Team,12.0,12.0,11,0.0
11,2022,Bahrain_Grand_Prix,NOR,McLaren,13.0,13.0,15,0.0
12,2022,Bahrain_Grand_Prix,OCO,Alpine,11.0,11.0,7,6.0
13,2022,Bahrain_Grand_Prix,PER,Red Bull Racing,4.0,4.0,18,0.0
14,2022,Bahrain_Grand_Prix,RIC,McLaren,18.0,18.0,14,0.0
15,2022,Bahrain_Grand_Prix,RUS,Mercedes,9.0,9.0,4,12.0
16,2022,Bahrain_Grand_Prix,SAI,Ferrari,3.0,3.0,2,18.0
17,2022,Bahrain_Grand_Prix,STR,Aston Martin,19.0,19.0,12,0.0
18,2022,Bahrain_Grand_Prix,TSU,AlphaTauri,16.0,16.0,8,4.0
19,2022,Bahrain_Grand_Prix,VER,Red Bull Racing,2.0,2.0,19,0.0
20,2022,Bahrain_Grand_Prix,VET,,,,,
21,2022,Bahrain_Grand_Prix,ZHO,Alfa Romeo,15.0,15.0,10,1.0
22,2022,Saudi_Arabian_Grand_Prix,ALB,Williams,17.0,16.0,14,0.0
23,2022,Saudi_Arabian_Grand_Prix,ALO,Alpine,7.0,7.0,R,0.0
24,2022,Saudi_Arabian_Grand_Prix,BOT,Alfa Romeo,8.0,8.0,R,0.0
25,2022,Saudi_Arabian_Grand_Prix,DEV,,,,,
26,2022,Saudi_Arabian_Grand_Prix,GAS,AlphaTauri,9.0,9.0,8,4.0
27,2022,Saudi_Arabian_Grand_Prix,HAM,Mercedes,16.0,15.0,10,1.0
28,2022,Saudi_Arabian_Grand_Prix,HUL,Aston Martin,18.0,17.0,12,0.0
29,2022,Saudi_Arabian_Grand_Prix,LAT,Williams,19.0,18.0,R,0.0
30,2022,Saudi_Arabian_Grand_Prix,LEC,Ferrari,2.0,2.0,2,19.0
31,2022,Saudi_Arabian_Grand_Prix,MAG,Haas F1 Team,10.0,10.0,9,2.0
32,2022,Saudi_Arabian_Grand_Prix,MSC,Haas F1 Team,14.0,,W,0.0
33,2022,Saudi_Arabian_Grand_Prix,NOR,McLaren,11.0,11.0,7,6.0
34,2022,Saudi_Arabian_Grand_Prix,OCO,Alpine,5.0,5.0,6,8.0
35,2022,Saudi_Arabian_Grand_Prix,PER,Red Bull Racing,1.0,1.0,4,12.0
36,2022,Saudi_Arabian_Grand_Prix,RIC,McLaren,12.0,14.0,R,0.0
37,2022,Saudi_Arabian_Grand_Prix,RUS,Mercedes,6.0,6.0,5,10.0
